tanggal,hari_ops,terminal,jumlah_bus_regular,jumlah_penumpang_bus
05/07/2015,H - 12,TB Kp. Rambutan,384,768
06/07/2015,H - 11,TB Kp. Rambutan,362,841
07/07/2015,H - 10,TB Kp. Rambutan,363,847
08/07/2015,H - 9,TB Kp. Rambutan,382,887
09/07/2015,H - 8,TB Kp. Rambutan,392,911
10/07/2015,H - 7,TB Kp. Rambutan,428,1437
11/07/2015,H - 6,TB Kp. Rambutan,459,5904
12/07/2015,H - 5,TB Kp. Rambutan,430,10081
13/07/2015,H - 4,TB Kp. Rambutan,477,8061
14/07/2015,H - 3,TB Kp. Rambutan,481,10346
15/07/2015,H - 2,TB Kp. Rambutan,483,11785
16/07/2015,H - 1,TB Kp. Rambutan,414,4533
17/07/2015,H 1,TB Kp. Rambutan,379,2517
18/07/2015,H 2,TB Kp. Rambutan,423,5081
19/07/2015,H + 1,TB Kp. Rambutan,427,2288
20/07/2015,H + 2,TB Kp. Rambutan,447,2114
21/07/2015,H + 3,TB Kp. Rambutan,453,1832
22/07/2015,H + 4,TB Kp. Rambutan,460,1828
23/07/2015,H + 5,TB Kp. Rambutan,445,2229
24/07/2015,H + 6,TB Kp. Rambutan,430,1727
25/07/2015,H + 7,TB Kp. Rambutan,469,1837
26/07/2015,H + 8,TB Kp. Rambutan,449,1808
27/07/2015,H + 9,TB Kp. Rambutan,419,1414
28/07/2015,H + 10,TB Kp. Rambutan,0,0
05/07/2015,H - 12,TB Pulo Gadung,124,761
06/07/2015,H - 11,TB Pulo Gadung,109,416
07/07/2015,H - 10,TB Pulo Gadung,114,741
08/07/2015,H - 9,TB Pulo Gadung,112,798
09/07/2015,H - 8,TB Pulo Gadung,118,986
10/07/2015,H - 7,TB Pulo Gadung,138,1656
11/07/2015,H - 6,TB Pulo Gadung,147,2053
12/07/2015,H - 5,TB Pulo Gadung,150,2272
13/07/2015,H - 4,TB Pulo Gadung,144,2118
14/07/2015,H - 3,TB Pulo Gadung,150,2856
15/07/2015,H - 2,TB Pulo Gadung,146,3070
16/07/2015,H - 1,TB Pulo Gadung,101,1434
17/07/2015,H 1,TB Pulo Gadung,87,1286
18/07/2015,H 2,TB Pulo Gadung,87,1131
19/07/2015,H + 1,TB Pulo Gadung,78,797
20/07/2015,H + 2,TB Pulo Gadung,97,869
21/07/2015,H + 3,TB Pulo Gadung,101,826
22/07/2015,H + 4,TB Pulo Gadung,105,771
23/07/2015,H + 5,TB Pulo Gadung,102,745
24/07/2015,H + 6,TB Pulo Gadung,102,667
25/07/2015,H + 7,TB Pulo Gadung,103,684
26/07/2015,H + 8,TB Pulo Gadung,116,774
27/07/2015,H + 9,TB Pulo Gadung,105,557
28/07/2015,H + 10,TB Pulo Gadung,0,0
05/07/2015,H - 12,TB Kalideres,222,1015
06/07/2015,H - 11,TB Kalideres,177,740
07/07/2015,H - 10,TB Kalideres,166,686
08/07/2015,H - 9,TB Kalideres,203,995
09/07/2015,H - 8,TB Kalideres,235,1224
10/07/2015,H - 7,TB Kalideres,327,2699
11/07/2015,H - 6,TB Kalideres,373,3178
12/07/2015,H - 5,TB Kalideres,462,6229
13/07/2015,H - 4,TB Kalideres,418,4675
14/07/2015,H - 3,TB Kalideres,485,5159
15/07/2015,H - 2,TB Kalideres,485,7036
16/07/2015,H - 1,TB Kalideres,373,3102
17/07/2015,H 1,TB Kalideres,210,1206
18/07/2015,H 2,TB Kalideres,219,1175
19/07/2015,H + 1,TB Kalideres,272,1526
20/07/2015,H + 2,TB Kalideres,290,1380
21/07/2015,H + 3,TB Kalideres,295,1334
22/07/2015,H + 4,TB Kalideres,303,1344
23/07/2015,H + 5,TB Kalideres,311,1369
24/07/2015,H + 6,TB Kalideres,273,1144
25/07/2015,H + 7,TB Kalideres,310,1387
26/07/2015,H + 8,TB Kalideres,330,1506
27/07/2015,H + 9,TB Kalideres,273,1134
28/07/2015,H + 10,TB Kalideres,132,510
